P_bara,GERG_rho,GERG_w,GERG_Z,GERG_kappa,DETAIL_rho,DETAIL_w,DETAIL_Z,DETAIL_kappa,REFPROP_rho,REFPROP_w,REFPROP_Z,REFPROP_kappa,GERG_rho_rel_dev,DETAIL_rho_rel_dev,GERG_w_rel_dev,DETAIL_w_rel_dev,GERG_Z_rel_dev,DETAIL_Z_rel_dev,GERG_kappa_rel_dev,DETAIL_kappa_rel_dev
10.0,8.05196537523098,389.391141117766,0.9771553589644588,1.220882960212022,8.053797180233088,389.3500126241103,0.976958250491346,1.22090275784439,8.052575078993948,389.4143095866007,0.9770898789562102,1.2211207053150464,-0.0075715377626112,0.0151765271003558,-0.0059495679188922,-0.0165111966631785,0.0067015337748289,-0.0134714797173782,-0.0194694187060808,-0.017848151268556
20.0,16.488650007177416,384.7679856676274,0.9543560101255488,1.2205426602519045,16.494451592879503,384.71326652983294,0.9540448869981584,1.220624859864546,16.491317283927213,384.7894564841787,0.9542099607638256,1.220876343853558,-0.0161738247095436,0.0190058131702151,-0.0055798869198294,-0.019800426716963,0.0153057888440449,-0.0172995223750181,-0.0273314822859281,-0.0205986454138508
30.0,25.333080171900445,380.5590542625273,0.9317486539197608,1.2229560816566296,25.343581073261024,380.5075554545591,0.9313865605970848,1.223131907713379,25.33992517709895,380.5683777092988,0.9315050720430867,1.2233464648910846,-0.0270127285328092,0.0144274149845429,-0.002449874271634,-0.0159819518126442,0.0261492807698747,-0.0127225765654729,-0.0319110935175429,-0.017538545609364
40.0,34.603697493291115,376.8751528669251,0.9095006241028027,1.2287330125940104,34.61831930461506,376.8431329048301,0.9091398728838608,1.229043344504002,34.61764088528599,376.8619807515434,0.9091422070374858,1.2291422009100568,-0.0402782848232677,0.0019597503230364,0.0034952094014393,-0.0050012597916536,0.0394236525972059,-0.0002567424113611,-0.0332905595254522,-0.0080427151538265
50.0,44.311619673067085,373.8388042488472,0.8878056336750727,1.2385580833724594,44.32828829921742,373.8436048303759,0.8874946343407051,1.2390558112442802,44.33645293876258,373.7947546820468,0.8873160895490894,1.238960174325469,-0.056010943703138,-0.0184151843550525,0.0117844261452616,0.0130687088882938,0.0551713342910435,0.0201218927188001,-0.0324539046001614,0.0077191277648025
60.0,54.45701471128637,371.58471794425685,0.8668878922192411,1.253193889963499,54.47180870784879,371.6426199917731,0.8666747577866557,1.253925030770256,54.49738339663175,371.5055560081527,0.8662532898457974,1.253588579129763,-0.074074538683031,-0.0469282875414911,0.0213084124379532,0.0368941948252701,0.0732582930284363,0.0486541229682734,-0.0314847449023549,0.0268390799098283
70.0,65.02475779944449,370.2573012982217,0.8470027368051664,1.273467793434723,65.03161651183618,370.3783077984903,0.8469352012964976,1.2744347233808564,65.08599902254312,370.1453700625778,0.8462131348012897,1.2738965989812474,-0.0940927757403281,-0.0835548528464745,0.0302398043301008,0.0629314195860606,0.0933100623712362,0.0853291523745319,-0.0336609381693451,0.0422423923605205
80.0,75.97992354058087,370.0043929985375,0.8284315908689652,1.3002373163930785,75.9706916294169,370.1859298332687,0.8285535839419391,1.3013553714634127,76.06767069246335,369.87081276355366,0.8274831646711157,1.3007991784899318,-0.1153540670874989,-0.127490512281528,0.0361153760648867,0.0851965223642756,0.1146157696424518,0.1293584348932159,-0.0431936079099868,0.0427577894173215
90.0,87.26414477298661,370.96710899470247,0.8114694784856195,1.3343327280733506,87.22914677541888,371.189738349178,0.8118159473625536,1.335398973515355,87.38362420984917,370.8327084884393,0.8103670123926775,1.3351916566443465,-0.136729779684619,-0.1767807593552287,0.0362428942179834,0.0962778774811936,0.1360452827030596,0.1787998459609032,-0.0643299833938889,0.0155271245125698
100.0,98.79423550672212,373.2668307751143,0.7964048789129875,1.3764815787290237,98.72332289686555,373.4948194332371,0.7969974441837275,1.3771743626493107,98.94928489064874,373.1604435203109,0.795163867825343,1.3778560930329429,-0.15669581048309,-0.2283614217453953,0.0285097889261147,0.0896064732295367,0.1560698540086461,0.2305910055243218,-0.0997574645762467,-0.0494776186772396
110.0,110.46440639849276,376.9915393557709,0.7834942956233213,1.4272264487715125,110.34814381515564,377.1786286006229,0.7843399684014626,1.4271397454121526,110.6564512954145,376.94472042662,0.7821413454726112,1.4293526231893825,-0.1735505654424518,-0.2786168150610458,0.0124206353382302,0.0620537074344066,0.1729802622686576,0.2811030182176214,-0.1487508668872599,-0.1548167849786565
120.0,122.15265796438965,382.1843040275033,0.7729365449154866,1.4868507262812043,121.98330287428684,382.2812628772127,0.7740295680750465,1.485542791740082,122.3800881704302,382.2229332582491,0.7715068416943109,1.489920164042886,-0.1858392238807882,-0.3242237377626123,-0.0101064659874064,0.0152606277353366,0.1853130969047348,0.3269869098238208,-0.2060135727912202,-0.2937991181303319
130.0,133.73064887897135,388.8363990666273,0.7648528992662776,1.5553259736359173,133.50293547791892,388.7951496065156,0.7661772115571384,1.5523481890363824,133.98904290340283,388.9714797025006,0.7633845477469425,1.5594140780956398,-0.1928471305058627,-0.3627964010716601,-0.0347276453216077,-0.045332397151538,0.1923475558509548,0.3658266097261349,-0.2621564417781146,-0.4531117910572094
140.0,145.07507763015252,396.8864183493468,0.7592778679275431,1.6322897396832887,144.78716229845466,396.6584112468576,0.7608073028954793,1.627179097848904,145.35841646572533,397.1074682165428,0.7578044478425741,1.6372999813510378,-0.1949242723345268,-0.392996966505455,-0.0556649987442276,-0.1130819754415561,0.1944327575753656,0.3962572483513607,-0.3060063351136695,-0.6181447271368339
150.0,156.07806666381515,406.2254255097778,0.7561620878048063,1.7170574345259964,155.73279586088955,405.7577068496829,0.7578580567616326,1.7093160728880326,156.38058842141925,406.49931034352346,0.7547058450774748,1.7227061737339762,-0.1934522440783073,-0.4142410302127801,-0.0673764571738565,-0.182436593364427,0.1929550084751202,0.4176742110476446,-0.3278991678387114,-0.7772713101109102
160.0,166.65447840074006,416.7070873656277,0.7553852682130655,1.8086676884061876,166.26047962180212,415.9424435234502,0.757194842301502,1.7977757749084848,166.97247178230498,416.983119300952,0.7539532259644086,1.8145203419304663,-0.1904465916869881,-0.4264129008230405,-0.0661973884667165,-0.2495726395942445,0.1899378103761169,0.4299492628268741,-0.322545489793311,-0.92280955109971
170.0,176.7452071252112,428.1610919653207,0.7567750274976235,1.9059571082311493,176.3169294218957,427.0454579241145,0.7586327738906532,1.89144321178086,177.07806753896645,428.3806934157177,0.7553590640314976,1.9115058499108768,-0.1879738232867235,-0.4298319535835531,-0.0512631530254123,-0.311693666900961,0.187455679497465,0.4333978388613259,-0.290281177009564,-1.0495724159542843
180.0,186.31666710256383,440.4078522300746,0.7601272731059356,2.007656036200468,185.87291440721572,438.90191922739615,0.7619616085856665,1.989200516371853,186.6669221233548,440.51527692589,0.7587076025840824,2.0124115902186297,-0.1876363614971426,-0.4253606943893223,-0.0243861453716291,-0.3662433025597969,0.1871169495360208,0.4288880183223784,-0.2363112020064051,-1.153395953372298
190.0,195.35748348318472,453.2722790283573,0.7652248511295375,2.112490528041003,194.91883777611545,451.3608293909345,0.7669666521865537,2.0900079877036184,195.7299785787785,453.2227772306056,0.7637751950961956,2.116056225137048,-0.1903107016608065,-0.4144182759089433,0.0109221778424686,-0.4108239773491676,0.1898014026443115,0.41785293772942,-0.1685067274530264,-1.2309804023162088
200.0,203.8736856873024,466.5943571884132,0.7718525409572508,2.219270004124,203.45976915958,464.2887275124178,0.7734426943973732,2.192930312798179,204.2744127327132,466.3579180676485,0.7703450964771732,2.2213791162447505,-0.1961709447845112,-0.3987986367138074,0.0506990685918536,-0.443691524270552,0.1956843091454955,0.4021052297685161,-0.0949460677525538,-1.2806820429042445
210.0,211.8836079401236,480.2349705887939,0.7798075795243186,2.326942377486521,211.51104142436665,477.5686628453743,0.7812012770139505,2.2971290382446137,212.31863547955143,479.7961975193932,0.7782165772704082,2.32746105767775,-0.2048937147911038,-0.3803688985475603,0.0914498846946342,-0.4642668461183171,0.2044420923916624,0.3835307330526345,-0.0222852360737761,-1.303223498974482
220.0,219.41335751732967,494.07707293609377,0.7889057736678552,2.4346121509167467,219.09476915432623,491.0978494736754,0.7900732634303542,2.401847298114852,219.8880936509277,493.4331298962862,0.7872093869604092,2.4335240577635866,-0.2158989719341904,-0.360785562978621,0.130502595142516,-0.4732719148999204,0.2154937092399408,0.3638011077336209,0.0447126524058287,-1.3016826173416025
230.0,226.49326673759725,508.02391320467086,0.7989839534237879,2.5415331024178744,226.2372201215875,504.785950949722,0.7999087982606585,2.5064020567953054,227.0120600795556,507.1821682370502,0.7971649653707595,2.5389201701319166,-0.228531181020322,-0.3413210547917903,0.1659650161886732,-0.4724569271939013,0.2281821369535945,0.3441988809208191,0.102915102124777,-1.2807851825810532
240.0,233.1553623187996,521.9964091611357,0.8098999093157522,2.6470929869966224,232.9668502210497,518.5543720890322,0.8105761239984421,2.610186185290712,233.7213444243295,520.9722692496097,0.8079456802988735,2.6431167562535283,-0.2421610687393407,-0.3228178432475466,0.1965824232835242,-0.4641124496050668,0.2418762875439584,0.3255718501515616,0.150437196301924,-1.2458992167070877
250.0,239.43167286744648,535.9308909698053,0.8215309426667928,2.7508009905929844,239.3128401919749,532.3360990785196,0.8219600332247969,2.712675393670507,240.0467505528277,534.7455961342124,0.8194330470106181,2.745682122973008,-0.2562324563713762,-0.3057364280759988,0.2216558386196458,-0.4505875453882256,0.2560179460455055,0.308382267886012,0.1864333666722346,-1.2021322142987871
260.0,245.35314866971729,549.7773273031203,0.8337718514754576,2.8522785709974694,245.3040278159053,546.0755128947416,0.8339602716668673,2.8134340286598407,246.0180925120924,548.4555242686886,0.8315255506245555,2.8462728448877934,-0.2702824965372983,-0.2902488548284351,0.2410045985395424,-0.4339479262462575,0.2701421320385132,0.2928017113224103,0.2110031763280494,-1.1537480072205546
270.0,250.9490099137037,563.4976466547803,0.8465328084830439,2.9512495623171,250.9681642470116,559.7278411921079,0.8464899837743913,2.912116122859667,251.66360800945765,562.0649455416287,0.8441364292963519,2.9446226966001605,-0.2839497142261035,-0.2763386283566037,0.2548995671258136,-0.4158068152193133,0.2838852943107257,0.2788120967603871,0.2250497398050704,-1.1039300137849692
280.0,256.24639553757135,577.0638976587778,0.8597373274372118,3.0475268691712523,256.3314360920923,573.2581929236577,0.859474219171478,3.0084609587195725,257.0096454190609,575.5448129734666,0.8571915995562902,3.040532707860076,-0.2969732440372315,-0.2638847759440214,0.2639385589217786,-0.3972966132724611,0.2969846977314413,0.2662904788578641,0.230030786812309,-1.0548069112229894
290.0,261.2702232350349,590.4563045785709,0.8733203866719808,3.14099645831532,261.4181980145136,586.6402932102148,0.8728485094779079,3.102284313681261,262.08053404975624,588.8728705349072,0.8706277995605007,3.1338619447774976,-0.3091838993915874,-0.2527223311888064,0.2688923404172772,-0.3791272168242953,0.3092695998036421,0.2550699528005221,0.2276588332077385,-1.007626744657988
