P_bara,GERG_rho,GERG_w,GERG_Z,GERG_kappa,DETAIL_rho,DETAIL_w,DETAIL_Z,DETAIL_kappa,REFPROP_rho,REFPROP_w,REFPROP_Z,REFPROP_kappa,GERG_rho_rel_dev,DETAIL_rho_rel_dev,GERG_w_rel_dev,DETAIL_w_rel_dev,GERG_Z_rel_dev,DETAIL_Z_rel_dev,GERG_kappa_rel_dev,DETAIL_kappa_rel_dev
10.0,8.303327629273632,392.3648312200736,0.9712210994534012,1.2782986235220486,8.304782298518397,392.3372209366953,0.971076721685976,1.2783426399515878,8.303902727301331,392.38641567068805,0.9711652302620176,1.2785278149855526,-0.0069256354100643,0.0105922630111515,-0.0055008149498655,-0.0125373183239952,0.0057527997958058,-0.0091136475322467,-0.0179262008082761,-0.0144834575982103
20.0,17.11994998014131,386.7661481197834,0.9421016998974168,1.280469995330262,17.124418809161128,386.7327924852248,0.941880814599866,1.280583327352454,17.12194507620273,386.8030976660218,0.9420029755195912,1.2808639151555594,-0.0116522746250011,0.0144477332884015,-0.0095525466216349,-0.0181759611598957,0.0104802617816785,-0.0129682095385936,-0.0307542292851235,-0.0219061369272224
30.0,26.504979509258774,381.5750363777972,0.9127756902895784,1.286370662116032,26.512925807187376,381.5501393067557,0.9125263081950848,1.2865884096398943,26.509104897326427,381.6229604316951,0.9126443501734,1.2868940752334823,-0.0155621552807139,0.014413575546015,-0.0125579587359219,-0.0190819558804823,0.0143911608233119,-0.0129340611480027,-0.0406725873965624,-0.0237521952638399
40.0,36.51427075316135,376.9471123958805,0.8834208459197284,1.2970702002946677,36.52519498242496,376.9469596811337,0.8831800375211091,1.2974572025472906,36.52114308359782,376.99935084763257,0.8832649718299598,1.2976739174182623,-0.0188174023489392,0.0110946659524346,-0.0138563771090271,-0.0138968850691988,0.0176474891159376,-0.0096159489575065,-0.0465230221160615,-0.0167002563635479
50.0,47.199764766530045,373.076047362714,0.8542804216413691,1.3139068101442375,47.21207072123612,373.1190504565562,0.8540803914721659,1.3145523675937016,47.21001283800146,373.12634118236247,0.8541050001305611,1.314546439612919,-0.0217074108973065,0.0043589974053117,-0.01347903219298,-0.0019539563417382,0.0205386352709731,-0.0028812216754968,-0.048657806936785,0.0004509525570233
60.0,58.60111664800094,370.2009655415585,0.8256873708736788,1.3385350119415405,58.61185840886653,370.3027816646577,0.8255579318953302,1.3395168784334082,58.615675578482566,370.2469236179452,0.8254919720341904,1.3392000034385685,-0.0248379470814653,-0.0065121993022562,-0.0124128178939593,0.0150867011038667,0.023670592338636,0.0079903697884832,-0.0496558762933363,0.0236615138908514
70.0,70.73246939133406,368.6073845929629,0.79808565161576,1.372931417560407,70.73723304192283,368.7726308320341,0.7980530613611951,1.3742552067613767,70.75313145391401,368.6550204938161,0.7978619471620311,1.3736874525127334,-0.0292030361842048,-0.0224702591453909,-0.0129215386215003,0.0319025461962987,0.0280379900964807,0.0239532916494956,-0.0550368972900942,0.0413306715151816
80.0,83.56449822139285,368.6160696593328,0.7720376150991288,1.4193200931990548,83.55761937493675,368.8312044807524,0.7721216405243783,1.4208603160546591,83.59452630381561,368.6848023347226,0.7717693452725408,1.4203596483859355,-0.0359211108076932,-0.0441499348231597,-0.018642665755289,0.0397092977802985,0.034760363084034,0.0456477384072612,-0.0731895747715749,0.0352493588009582
90.0,97.00496468425936,370.5547772957884,0.7482019414084862,1.479981497080412,96.97986776695258,370.7887076634127,0.7484154040430855,1.4814673234000233,97.04910296199031,370.6803919968651,0.7478704307707335,1.481658931460459,-0.0454803562154167,-0.0713403760824711,-0.0338876033879239,0.0292207704767126,0.0443272823891531,0.0728700119605478,-0.1132132601119824,-0.0129319951013639
100.0,110.8855454670596,374.7124867083388,0.7272694520514038,1.556937819640494,110.83448530692944,374.9272220864274,0.7276237848200462,1.5580050356391215,110.94851869017955,374.9434818457691,0.7268651893183681,1.5597432841091283,-0.0567589579954689,-0.1027804468201615,-0.0616079885675568,-0.0043365894138555,0.0556172917587148,0.1043653641453794,-0.1798670651264894,-0.1114445234492313
