P_bara,GERG_rho,GERG_w,GERG_Z,GERG_kappa,DETAIL_rho,DETAIL_w,DETAIL_Z,DETAIL_kappa,REFPROP_rho,REFPROP_w,REFPROP_Z,REFPROP_kappa,GERG_rho_rel_dev,DETAIL_rho_rel_dev,GERG_w_rel_dev,DETAIL_w_rel_dev,GERG_Z_rel_dev,DETAIL_Z_rel_dev,GERG_kappa_rel_dev,DETAIL_kappa_rel_dev
10.0,7.240779909710857,422.8734862969594,0.9795231215524212,1.2948106393926588,7.241408931795891,422.84044605579606,0.9794650073495864,1.294720778633458,7.24108527150288,422.8699838690904,0.9794957570788452,1.294843795574014,-0.0042170721732107,0.0044697760194177,0.0008282517091977,-0.0069850815666949,0.002793730690352,-0.0031393427726889,-0.0025606317509853,-0.0095005236134608
20.0,14.78863104659544,419.29159216900536,0.959184297354803,1.299960888627157,14.79063408403047,419.2384060835221,0.9590808091535252,1.2998071437679417,14.7894349696155,419.29482135396927,0.959145811135418,1.300051580176921,-0.0054357926567829,0.0081079122862705,-0.0007701466365566,-0.0134547978114815,0.004012551474277,-0.0067770698821781,-0.0069759962717557,-0.01880205468048
30.0,22.657803892610104,416.1417490230416,0.9390819216085556,1.3079138393469596,22.661690460102303,416.0733258477992,0.9389467213520656,1.307708050081955,22.65913121051205,416.1543614909881,0.9390402792838896,1.308069744937187,-0.0058577616662292,0.0112945618544341,-0.0030307186740433,-0.019472496431041,0.0044345621359232,-0.0099631436358842,-0.011918752102539,-0.0276510374643414
40.0,30.859370851877166,413.5153311829825,0.9193332389927978,1.319198982902144,30.865256331930457,413.4354557894452,0.9191832494538968,1.3189408938683456,30.861231004390344,413.5352142260075,0.9192909121576108,1.3194053747570536,-0.0060274734760684,0.0130433148941469,-0.0048080652725592,-0.0241233232698235,0.0046042917021533,-0.0117114944018303,-0.0156427932505249,-0.0352038045012141
50.0,39.39942117807601,411.5147362723497,0.9000781137846647,1.3344140959263373,39.406803848170014,411.42613230113335,0.8999342702252935,1.3340894627071795,39.401890125731214,411.537033672304,0.9000345259390738,1.3346423364311446,-0.0062660640068896,0.0124707784908816,-0.0054180786004327,-0.026948090231633,0.0048429081701513,-0.0111390964336348,-0.0171012486699332,-0.0414248603444917
60.0,48.276744685684,410.2528436845071,0.8814817219940576,1.3542221955657088,48.2843019655971,410.156335189972,0.8813680261120591,1.353797023274231,48.27998733246135,410.2715915996485,0.8814350655781245,1.3544369386312252,-0.0067163372579523,0.008936690695557,-0.0045696352185334,-0.0280927103012645,0.0052932334729108,-0.0076057180708341,-0.0158547850690932,-0.0472458583151865
70.0,57.480100075205456,409.8505323939238,0.8637350894045193,1.3793373068795212,57.48560671659762,409.7438225668386,0.8636761339753736,1.3787512170313656,57.48436638530086,409.8598267595812,0.8636832798643798,1.3795022496466969,-0.0074216876059956,0.0021576845580064,-0.0022676937456487,-0.0283033820756927,0.0059986735123132,-0.0008273737807347,-0.0119566870744833,-0.0544422900016014
80.0,66.98535171856837,410.4318159165935,0.8470522175573489,1.410496111746946,66.98580664848143,410.3086890117561,0.8470697907481118,1.4096595327784849,66.99099384448202,410.4265378102368,0.846992933593254,1.4105786363153805,-0.0084222155693805,-0.0077431244155491,0.0012860051362283,-0.0287137374472523,0.0069993457729844,0.0090741199612821,-0.0058504053804593,-0.0651579084804983
90.0,76.75299564368161,412.1164914849191,0.8316626800215469,1.4484143306819677,76.74497139245696,411.9673296068774,0.8317725411218216,1.4472147222584,76.76054326701843,412.0927386119633,0.8315927426242685,1.4483897886078416,-0.0098326861895233,-0.0202863006158063,0.0057639629943047,-0.0304322288008023,0.0084100538272663,0.0216209796379085,0.0016944384943104,-0.0811291517438196
100.0,86.72680363349835,415.0107497990439,0.8177992318968108,1.4937297571241173,86.70691227055359,414.8248306883442,0.8180093682117632,1.4920494262521196,86.73708910211126,414.9661746306553,0.8177138953479767,1.493586012116978,-0.0118582128122812,-0.0347911509021733,0.0107418799684835,-0.0340615575322117,0.0104359910378949,0.0361340152671329,0.0096241532776258,-0.1028789672903043
110.0,96.83436190839596,419.1968330820361,0.8056811982690408,1.546937601384034,96.7996343057546,418.9657952356605,0.8059924372461487,1.5446787351210338,96.84861969267132,419.1309833408365,0.8055740551439047,1.5466793344718848,-0.014721721714379,-0.0505793340908577,0.0157110172754739,-0.0394120482001542,0.0133002204393258,0.0519358958462543,0.0166981549693574,-0.1293480365491569
120.0,106.99003661294104,424.7233469487887,0.7954959056936508,1.6083270249860768,106.93804737834208,424.4439084460888,0.7959045626680425,1.6054308861502746,107.00986278529132,424.6378437644918,0.7953598424078798,1.6079774462493663,-0.0185274252617667,-0.0671110167605154,0.020135554461867,-0.0456707571524358,0.0171071354770769,0.0684872721903625,0.0217402761168003,-0.1583703866637933
130.0,117.1003366310939,431.5980095287179,0.7873815743648316,1.6779292988285122,117.02911601815244,431.27161464191744,0.7878824485825795,1.6743734226535731,117.12744088974198,431.4961607175344,0.7872105733777408,1.6775256676376686,-0.0231408271556064,-0.083946913586286,0.0236036425015249,-0.0520389509940255,0.0217223946011101,0.0853488542405911,0.0240611037214069,-0.1879103875969042
140.0,127.07092734368337,439.7843531487733,0.7814152365970952,1.7554873779334086,126.97894093923958,439.4128816089808,0.7820028455266017,1.7512543761125936,127.10674312698536,439.6698728200028,0.7812061717446646,1.7550680927280609,-0.0281777208831724,-0.1005471343232403,0.0260377924091681,-0.0584509485204774,0.026761802452707,0.1019799651810153,0.0238899679781653,-0.2172973590750687
150.0,136.81398683772997,449.2032164151453,0.7776081419269879,1.8404539445283072,136.70047602639832,448.7827374650157,0.7782752692719033,1.8354859078064047,136.8593322229949,449.0782357525035,0.777361563681314,1.84003961481031,-0.0331328412380771,-0.1160726082878674,0.0278304875836118,-0.0658010707182468,0.0317198916429773,0.1175393321818278,0.0225174346607737,-0.2474787481341387
160.0,146.25446904351986,459.73893030585896,0.7759091546144629,1.93202047607444,146.1201394715353,459.25551123859054,0.7766438415133877,1.926188780232447,146.30945238346592,459.6021460437055,0.7756286073978583,1.9315968920263933,-0.0375801693262819,-0.129392126651147,0.0297614498389356,-0.0754206237065704,0.0361703028909331,0.130891783238293,0.0219292156554382,-0.2799813882633077
170.0,155.33420713863998,471.249162859416,0.7762146857077291,2.0291743647444003,155.18187698491127,470.6799232814291,0.7769980324826986,2.0222899665078398,155.39842432924814,471.0951900265647,0.7759049657154121,2.0286869224590407,-0.041324222485102,-0.1393497683593415,0.0326840171818835,-0.0881492220525859,0.0399172586853364,0.1408763721828538,0.0240274770820097,-0.315324946416444
180.0,164.01345737222152,483.5767308303288,0.7783824946978724,2.1307758618484494,163.84819007585335,482.8960637955807,0.7791890754957187,2.122640635413445,164.08634813946327,483.3971634973972,0.7780477952558756,2.130139961785088,-0.0444222009132607,-0.1451419123591538,0.0371469562693348,-0.1036621105078503,0.0430178510931502,0.1466851068535866,0.029852501467963,-0.3520579166712689
190.0,172.27013763916918,496.5614691519381,0.7822465187512957,2.235642898017192,172.09866805507403,495.7492068972544,0.7830474687713915,2.2261168881626148,172.35129999256293,496.3471547966834,0.781889279090993,2.234765900526352,-0.0470912336589586,-0.146579653010915,0.0431783184780108,-0.1204696941748377,0.0456892900127718,0.1481270700814541,0.0392433717837699,-0.3870209564992798
