P_bara,GERG_rho,GERG_w,GERG_Z,GERG_kappa,DETAIL_rho,DETAIL_w,DETAIL_Z,DETAIL_kappa,REFPROP_rho,REFPROP_w,REFPROP_Z,REFPROP_kappa,GERG_rho_rel_dev,DETAIL_rho_rel_dev,GERG_w_rel_dev,DETAIL_w_rel_dev,GERG_Z_rel_dev,DETAIL_Z_rel_dev,GERG_kappa_rel_dev,DETAIL_kappa_rel_dev
10.0,9.167779764424903,371.3343038554264,0.966386535506706,1.2641374986354716,9.170716209776849,371.2887198176135,0.9661017009925924,1.2642319577863614,9.16829541572072,371.347223920536,0.96634136306094,1.2642965756830469,-0.0056242875303883,0.0264039709276727,-0.0034792410653122,-0.0157545550777959,0.0046745847267434,-0.0248009738079044,-0.0125822572515522,-0.0051109761687288
20.0,19.013173546762665,364.60579551288095,0.9319453065571556,1.2637807965913073,19.02214114549274,364.54992418751465,0.9315296802626324,1.2639893906395196,19.01507228804318,364.6203900696413,0.93186109994901,1.2640081896109392,-0.0099854539165262,0.0371750227529005,-0.0040026715888187,-0.0193258205097076,0.0090363905253876,-0.0355653526470581,-0.0179898375264418,-0.0014872507610357
30.0,29.63667481615385,358.20876838399704,0.8968231739684251,1.267595372845555,29.652658422080968,358.1645297222357,0.896362586127007,1.267965765720666,29.640843516107108,358.22282401723663,0.8967055627980158,1.267873166476707,-0.0140640395439361,0.0398602218166978,-0.0039237123648259,-0.0162731939710521,0.0131159184562577,-0.038248527190865,-0.0219102066750235,0.007303510036136
40.0,41.14891891039579,352.33612150389,0.8612249516565348,1.2770643368209575,41.17255511685436,352.32828550065017,0.8607524604135051,1.2777410547103942,41.15618849262652,352.3457198792616,0.8610810100221222,1.277359542720417,-0.0176634000790163,0.0397671038725258,-0.0027241356514478,-0.0049480886605918,0.0167163870457276,-0.0381554818644446,-0.0231106348358826,0.029867236061411
50.0,53.66487613726024,347.2440199955018,0.8254578751072282,1.294165081298725,53.69804992684075,347.30433253389305,0.8249689273313074,1.295414971840108,53.67599731114608,347.2444184026566,0.8252946878299717,1.2944362463036927,-0.020719081978823,0.0410846873823984,-0.0001147339262216,0.0172541668234864,0.0197732130913854,-0.0394720217478727,-0.0209485021561856,0.0756101769561922
60.0,67.28900300437412,343.27478192833337,0.7899911007082523,1.321528833216311,67.33602371793629,343.4362571582096,0.7894595528864662,1.323696747322995,67.3051257293171,343.26064271719594,0.7898093638161439,1.321736587766828,-0.023954676212649,0.0459073336308011,0.0041190889306473,0.0511606689376038,0.0230102225213344,-0.0442905523413248,-0.0157183021518546,0.1483018306604468
70.0,82.08547546859936,340.8709304163337,0.7555213893783361,1.362536704144083,82.15313497322956,341.1530566380304,0.754918381718602,1.3659180195330296,82.10974769441601,340.8380776049638,0.7553052270190823,1.3626768938432616,-0.0295607117281522,0.0528405944870427,0.0096388324921709,0.0924130998742502,0.0286192060535484,-0.0512170823982001,-0.0102878165625329,0.23784990443529
80.0,98.0297523123832,340.56320885954665,0.7230146942817007,1.421226761970448,98.1247481145129,340.9566582556244,0.7223331279685894,1.425892942945799,98.0698470298645,340.51602661529114,0.7227259637735491,1.4214141192330298,-0.0408838380966374,0.0559816154619612,0.0138561009079361,0.1294011458764855,0.0399502055584181,-0.0543547381235126,-0.0131810469620911,0.315096329223589
90.0,114.94944324165216,342.91227887926067,0.6936664334759213,1.501863406177301,115.07122386272896,343.3777946174433,0.6929499668952315,1.507539279605932,115.01810268631904,342.87777098333385,0.6932589387100093,1.502458035142955,-0.0596944681430956,0.0461850571077412,0.0100641974625119,0.1458314526122448,0.0587795905913891,-0.0445680246622958,-0.0395770764803697,0.3381954333582033
100.0,132.4851341197454,348.3977238268976,0.6687255127675984,1.608117461570442,132.61590815683235,348.8789945298774,0.6680830869180534,1.6141551190497443,132.59370880457058,348.4327043254952,0.6681842727569542,1.609758555143891,-0.0818852461433247,0.016742387298695,-0.0100393844100683,0.128085050238362,0.0810016087943784,-0.0151434032536181,-0.1019465663471826,0.2731194620338835
110.0,150.1157027629736,357.2805491390241,0.6492046226970705,1.7420161823790032,150.21999902150787,357.70233750375274,0.6487704064722415,1.7473448568040475,150.26226968990028,357.44536323693944,0.6485775449806924,1.7453261468759578,-0.0975407380902436,-0.0281312590842929,-0.0461088923976544,0.0718919010408204,0.0966850797149801,0.0297360728939219,-0.1896473334155449,0.1156637647183082
120.0,167.26422739155475,369.491397847264,0.6356136560455043,1.9029636247530148,167.3116078692958,369.7449825385046,0.6354498394282657,1.906116344659247,167.43085299014487,369.7940743549249,0.6349871315171107,1.907981410631399,-0.0995190525607151,-0.0712205180344371,-0.081850015630703,-0.0132754470189721,0.0986672795867109,0.0728688642948543,-0.2629892435232733,-0.0977507412682166
130.0,183.4396599416233,384.59968717015295,0.6278633860281722,2.0872176453152567,183.43395529570665,384.58663776558416,0.6278989007184684,2.087011105472832,183.60654614186183,384.97603491199015,0.6272986588814666,2.09320709954681,-0.0908933824775472,-0.0940003773187259,-0.0977587454043067,-0.1011484121329832,0.0900252437511162,0.0956867719232958,-0.2861376799672631,-0.2960048279656234
140.0,198.33820779879025,401.915764706114,0.6253694954905777,2.2884869035967297,198.3164754577136,401.6424079057143,0.6254539524662379,2.2851245907404505,198.497015542712,402.2782194661605,0.6248751040739519,2.294452039609455,-0.0800051041007275,-0.090953551369416,-0.0901005181258586,-0.1580526933051328,0.0791184371729064,0.0926342541913068,-0.2599808542409387,-0.4065218495738157
150.0,211.8568150558368,420.7091593718889,0.6272834972877348,2.4998567017786746,211.86015982040257,420.296998541212,0.6272895671203405,2.495000366211376,212.0091437145078,420.9880610952137,0.626838748585069,2.504972095809642,-0.0718500419378847,-0.0702723908483234,-0.0662493189472455,-0.1641525301700643,0.0709510545845581,0.0719193789932437,-0.2042096213177186,-0.3980774721980852
160.0,224.03519955711,440.3801356046485,0.6327304953754015,2.715511944584565,224.0880675901561,439.972903153662,0.6325973265682239,2.7111316637279246,224.1866674585125,440.5168151910609,0.6323090085176433,2.719034887881014,-0.0675632958550169,-0.0439811472618613,-0.0310270985576639,-0.1234713451660195,0.0666583667290047,0.0455976503096998,-0.1295659468052739,-0.2906628446848927
170.0,234.985097939805,460.4719798732112,0.6409492476016946,2.930878508724219,235.09614057727487,460.1710454463746,0.6406628225930018,2.928432081094916,235.14356577984665,460.4227321422024,0.6405233841420656,2.9322277096220235,-0.0673919524508775,-0.0201686158898059,0.010696198856162,-0.0546642635685523,0.066486793483651,0.0217694551656364,-0.0460128281776027,-0.1294452171859866
180.0,244.8442052448684,480.6229416781557,0.6513249537087185,3.142145700858856,245.0143401811865,480.4986540189476,0.6508892557660626,3.142703066222385,245.0184760112536,480.3873779868071,0.6508678782011058,3.14130065634956,-0.0711255613136475,-0.0016879666114978,0.0490361949840971,0.0231638126311367,0.0702255439116047,0.0032844707309687,0.0269011024967394,0.0446442421864326
190.0,253.7528652585811,500.5589156982368,0.6633728427076276,3.3463222128181918,253.9799129380569,500.6754527976644,0.6627966917335899,3.350876081692673,253.94996182022155,500.1863179368214,0.662864280364233,3.3439376159848133,-0.0776123612020781,0.0117941021218182,0.074491793968348,0.0977905319083016,0.0767219411966572,-0.0101964508641054,0.0713110442604867,0.2074938741288776
200.0,261.8418797036046,520.1023906266297,0.6767151942889991,3.541496478863476,262.122012164724,520.5191905031589,0.6760091955968961,3.5509698828195577,262.06520441169226,519.666340671073,0.676144939490307,3.538576116400578,-0.0852172300359366,0.0216769537029112,0.0839096014942126,0.1641148878306345,0.0843391357956439,-0.0200761531267532,0.0825293102884707,0.3502472749289505
210.0,269.2265025147973,539.1589432386528,0.6910612279384588,3.726766144091125,269.55489514571906,539.9218036517644,0.6902368996887263,3.741878314647871,269.4759698496415,538.7282829415276,0.6904280369498017,3.7242626504424896,-0.0925749835814326,0.0292884356707556,0.0799401684971389,0.2215440970947466,0.0917099183072635,-0.0276838788181111,0.0672211893631556,0.4729973650834899
220.0,276.0049397685005,557.688787852113,0.7061888693360552,3.901916761881727,276.3763532605165,558.8261805611427,0.7052578028162755,3.923120879092018,276.27818810197834,557.3132963993941,0.7054971269952736,3.900521961528035,-0.0989033319477946,0.0355312734648206,0.0673752905492978,0.2714602668773256,0.0980503412859758,-0.0339227715947428,0.0357593257376684,0.5793818823963179
230.0,282.2595385064331,575.6822990238652,0.7219286063789483,4.06711584948977,282.6687399387512,577.207978053997,0.7209018734247967,4.094629370872747,282.5531678447809,575.3916963172215,0.7211852289630712,4.067237424358178,-0.1039200305512371,0.0409027776442325,0.050505196460715,0.3156600535601172,0.1030771826741212,-0.0392902581604358,-0.0029891264198133,0.6734779324787313
240.0,288.0590106381274,593.145501585713,0.7381503315064208,4.2227240832955735,288.50098257423804,595.0629905071637,0.7370382825484557,4.256591131674138,288.3694197108668,592.9541336218224,0.7373627701180925,4.224547170665721,-0.1076428537570387,0.0456230287882657,0.0322736537346786,0.3556526155674478,0.1068078590680988,-0.0440065030113736,-0.0431546221759947,0.7585182438232084
250.0,293.4607464646744,610.0927679162492,0.7547533214887407,4.36919837000696,293.93075528411003,612.3989591615045,0.7535656247525044,4.409343265025951,293.7845761691543,610.0048650794988,0.7539285421736838,4.372759381103384,-0.1102269250151056,0.0497572462318606,0.0144101861775953,0.3924713095023778,0.1093975448494126,-0.0481368459844999,-0.0814362462250358,0.8366315347847048
