P_bara,GERG_rho,GERG_w,GERG_Z,GERG_kappa,DETAIL_rho,DETAIL_w,DETAIL_Z,DETAIL_kappa,REFPROP_rho,REFPROP_w,REFPROP_Z,REFPROP_kappa,GERG_rho_rel_dev,DETAIL_rho_rel_dev,GERG_w_rel_dev,DETAIL_w_rel_dev,GERG_Z_rel_dev,DETAIL_Z_rel_dev,GERG_kappa_rel_dev,DETAIL_kappa_rel_dev
10.0,9.574494822433683,354.5231316016968,0.9645671818949808,1.2033861877230636,9.577628583265149,354.4893069147242,0.9642759383006104,1.2035503677521835,9.575852299807078,354.5423014974808,0.964436532929707,1.2036869662954035,-0.0141760475296827,0.0185496121124025,-0.0054069417677602,-0.0149473229379981,0.0135466628246587,-0.0166516534383668,-0.0249881057751941,-0.0113483444653924
20.0,19.899969883615032,346.8543389020577,0.9281665794426076,1.197062115911073,19.908119931081583,346.8313553468907,0.9278100414096708,1.197393672395407,19.905971376357463,346.84563214632533,0.9278926024018868,1.197363014701324,-0.0301492081394192,0.0107935186055503,0.0025102682361843,-0.0041161825640684,0.0295268051509153,-0.0088976883749495,-0.0251301223235057,0.0025604343634095
30.0,31.09408679400859,339.51002227845345,0.8910289165387982,1.1947079399113876,31.10627058850728,339.5109394591516,0.8907024160172001,1.1951825274545864,31.109136686700676,339.45838812058304,0.8906034794422019,1.1949226512038684,-0.0483777253083244,-0.0092130431720261,0.0152107473779874,0.0154809368121503,0.0477695300340425,0.0111089365000269,-0.0179686352304504,0.0217483742948694
40.0,43.2834782565,332.7262641167956,0.8534659284278812,1.1979434837671867,43.3005719378594,332.757744202868,0.8531505590343303,1.1986433615828365,43.31340384965451,332.6202430433613,0.8528816459615722,1.19800788517527,-0.0690908367728177,-0.029625729346183,0.0318745102415272,0.0413387827056536,0.0685068636516599,0.0315299401776821,-0.0053757081969338,0.0530444261202402
50.0,56.59373744065942,326.80862154542984,0.8159245091938343,1.2088860931967744,56.62392118713744,326.8851567860903,0.8155101761939323,1.210097427285448,56.64677723495547,326.6410957217773,0.8151656848515307,1.2087788431442392,-0.0936325010619052,-0.0403483639029237,0.0512874301019554,0.0747184195466064,0.0930883569322196,0.0422602850933669,0.0088725951106346,0.1090839857669106
60.0,71.12675576759858,322.153493092579,0.7790522755559165,1.230289844779859,71.19044369781147,322.30069479356985,0.7783749876339083,1.232517041482144,71.21581852337461,321.92602906967795,0.7780829020879678,1.2300914649372965,-0.1250603554416698,-0.0356308838250662,0.0706572325196611,0.1163825506668804,0.1245848566196974,0.037539129205475,0.0161272432349205,0.1971866819652458
70.0,86.91948105662189,319.2521221335118,0.7437539161156279,1.265571453749172,87.05029909004695,319.4966568355626,0.7426549730160659,1.2694186186665837,87.06526018042852,318.988478375655,0.7425132872645163,1.265601136254732,-0.1674366142184955,-0.0171837657758917,0.0826499311822583,0.1593093463736736,0.1670850707173513,0.0190819146242601,-0.0023453286118043,0.3016339273484502
80.0,103.88501274574531,318.6564152723706,0.7111896697973827,1.3185853397329634,104.120995777954,319.00883996810524,0.7095957329119755,1.324505486433085,104.1162389523812,318.4260938520088,0.7096147063934399,1.3196105628434731,-0.2220846709048154,0.0045687643163653,0.0723312017478394,0.1830082795812925,0.2219462744715979,-0.0026737723011453,-0.0776913385946641,0.3709369815185748
90.0,121.75630817521038,320.893933049672,0.6826520337728943,1.3930669029819285,122.11780599670897,321.337691699133,0.6806484150365818,1.4010699642500106,122.10001725422046,320.82680532443305,0.680734679617608,1.3964150132963074,-0.2814979774281743,0.0145689926082927,0.0209233530755215,0.1592405516687845,0.2816595382452543,-0.0126722765284541,-0.2397647033653333,0.3333501079106153
100.0,140.0751458711668,326.3501960525218,0.6593063624175696,1.4918626434605946,140.5408131210764,326.8317294789875,0.6571384200592585,1.5012426220828006,140.53628475560137,326.6017722798593,0.657147142315134,1.4990825279066953,-0.3281279886091451,0.0032222037767073,-0.077028433000019,0.0704090481576283,0.3285748295014377,-0.0013272911519984,-0.4816202118093154,0.1440944134757966
