Component,MolePercent,MW,Dens
N2,1.989,28.0134,
CO2,0.344,44.0095,
C1,63.658,16.04246,
C2,15.893,30.06904,
C3,13.639,44.09562,
iC4,1.591,58.1222,
nC4,2.314,58.1222,
iC5,0.276,72.14878,
nC5,0.228,72.14878,
nC6,0.068,86.17536,
nC7,0.0,100.20194,
nC8,0.0,114.22852,
nC9,0.0,128.2551,
nC10,0.0,142.28168,
