Component,MolePercent,MW,Dens
N2,0.89,28.0134,
CO2,1.83,44.0095,
C1,87.47,16.04246,
C2,5.87,30.06904,
C3,2.01,44.09562,
iC4,0.26,58.1222,
nC4,0.74,58.1222,
iC5,0.29,72.14878,
nC5,0.29,72.14878,
nC6,0.17,86.17536,
nC7,0.1,100.20194,
nC8,0.05,114.22852,
nC9,0.02,128.2551,
nC10,0.01,142.28168,
