Component,MolePercent,MW,Dens
N2,0.83,28.0134,
CO2,1.84,44.0095,
C1,83.35,16.04246,
C2,5.62,30.06904,
C3,1.73,44.09562,
iC4,0.45,58.1222,
nC4,2.77,58.1222,
iC5,1.19,72.14878,
nC5,1.16,72.14878,
nC6,0.53,86.17536,
nC7,0.35,100.20194,
nC8,0.14,114.22852,
nC9,0.03,128.2551,
nC10,0.01,142.28168,
